iter	Logloss
0	0.6876733124
1	0.6816852492
2	0.6765905525
3	0.6710039802
4	0.6653975077
5	0.6596994513
6	0.6554423765
7	0.6500499719
8	0.6445850272
9	0.6395771612
10	0.633936214
11	0.6300466906
12	0.6260549744
13	0.6207131769
14	0.6156224441
15	0.610981844
16	0.6062989603
17	0.6020324498
18	0.5982508336
19	0.5935503717
20	0.5895183999
21	0.5851796217
22	0.5811106095
23	0.5772402863
24	0.5741273812
25	0.5698562776
26	0.5662701667
27	0.5631225242
28	0.5595073319
29	0.555899767
30	0.5533179393
31	0.5501626859
32	0.546902555
33	0.5450130917
34	0.5416564403
35	0.5382367728
36	0.5351002667
37	0.5330323734
38	0.5301513491
39	0.5272566791
40	0.524533983
41	0.52244971
42	0.5193294495
43	0.5166310079
44	0.5149743663
45	0.5135402233
46	0.510899877
47	0.508743754
48	0.5060251516
49	0.5036009681
50	0.5007604931
51	0.498571148
52	0.4957849782
53	0.4932075286
54	0.491258102
55	0.4890169213
56	0.4875237323
57	0.4854800706
58	0.4832403147
59	0.4810785997
60	0.4791020477
61	0.4778538262
62	0.4757486357
63	0.4737073492
64	0.4719014716
65	0.470406616
66	0.468779894
67	0.4673664352
68	0.465542753
69	0.4641737665
70	0.4622815199
71	0.460588164
72	0.4590647867
73	0.4581521177
74	0.4570054457
75	0.4557181862
76	0.4545514334
77	0.4528705974
78	0.4512914165
79	0.4504937163
80	0.4493139091
81	0.4480944578
82	0.4470967258
83	0.4455875738
84	0.4446137686
85	0.4434857755
86	0.4419738545
87	0.4409632695
88	0.4395306794
89	0.4380931029
90	0.437410005
91	0.4362410878
92	0.4353430454
93	0.4341810454
94	0.4333668898
95	0.4321446585
96	0.4308678302
97	0.4296146434
98	0.4285456452
99	0.4272459147
100	0.4265009626
101	0.4258726533
102	0.4246986731
103	0.4239971562
104	0.4233378867
105	0.4223092071
106	0.4213827403
107	0.4206785416
108	0.420122884
109	0.4192304165
110	0.4184038269
111	0.4177080993
112	0.4172646176
113	0.4165009841
114	0.4155036009
115	0.4144823402
116	0.4135455037
117	0.413018559
118	0.4119728059
119	0.4112362702
120	0.4102520519
121	0.4096549503
122	0.408731086
123	0.4078761023
124	0.4073184034
125	0.4065455016
126	0.4061930382
127	0.4055523748
128	0.4047875546
129	0.4041508912
130	0.4036411721
131	0.4029230461
132	0.4023072766
133	0.4016202688
134	0.4007894953
135	0.3999320261
136	0.3992326805
137	0.3984191478
138	0.398071621
139	0.3975287091
140	0.3966822005
141	0.3960126602
142	0.3956269473
143	0.3951084313
144	0.3948764247
145	0.3942483408
146	0.3938853685
147	0.3934944934
148	0.3932811281
149	0.3926828694
150	0.3920600918
151	0.3913772614
152	0.3907794077
153	0.3902997298
154	0.3895137941
155	0.3889644311
156	0.3884946591
157	0.3881924048
158	0.3878232044
159	0.3874075087
160	0.3868048712
161	0.3864015804
162	0.3860325927
163	0.3855670801
164	0.3850972373
165	0.3847442685
166	0.3844197462
167	0.3841059252
168	0.3835008797
169	0.3833803068
170	0.3829398317
171	0.3824764071
172	0.3823290097
173	0.3820217164
174	0.3815555882
175	0.3814372386
176	0.3809973325
177	0.3807675558
178	0.38063196
179	0.3800735396
180	0.3797068328
181	0.3792946421
182	0.3791391322
183	0.3787329297
184	0.3783801448
185	0.37812181
186	0.3779406771
187	0.3778985191
188	0.377697413
189	0.3774968747
190	0.3772543142
191	0.3771173436
192	0.3767572638
193	0.3763100504
194	0.375948672
195	0.3756564483
196	0.375522522
197	0.3752549603
198	0.3749419335
199	0.3747441239
200	0.3744480037
201	0.3741887031
202	0.3739808884
203	0.3736256805
204	0.3735333504
205	0.3731431927
206	0.3727691162
207	0.372337188
208	0.3720098179
209	0.3717017503
210	0.3714781173
211	0.3712728368
212	0.3709118503
213	0.3704957617
214	0.3701402237
215	0.3698604319
216	0.3694697186
217	0.3691270477
218	0.368925895
219	0.3686248407
220	0.3684332248
221	0.3682234881
222	0.3678746974
223	0.3675344301
224	0.3673249737
225	0.367101566
226	0.3669494201
227	0.3667164734
228	0.366470962
229	0.3661824272
230	0.3659744511
231	0.3657721721
232	0.3655351887
233	0.3652503432
234	0.3650656764
235	0.3648704302
236	0.3645912816
237	0.3643738298
238	0.363985792
239	0.3638660677
240	0.3638142402
241	0.3635200375
242	0.3632258495
243	0.3630009782
244	0.3627799905
245	0.3625213561
246	0.3623138152
247	0.3620620107
248	0.3618929905
249	0.3615893909
250	0.3615410806
251	0.3614103923
252	0.3610935016
253	0.3609317771
254	0.3608134171
255	0.3606842851
256	0.3605585771
257	0.3603371498
258	0.3599962041
259	0.3597176706
260	0.3595512852
261	0.3594576046
262	0.3593686862
263	0.3590768077
264	0.359039836
265	0.3589268684
266	0.358795317
267	0.3585936642
268	0.3585659815
269	0.3584299914
270	0.3582154452
271	0.3580465251
272	0.3579418732
273	0.3579156199
274	0.3578012619
275	0.3576722244
276	0.357567845
277	0.3574224079
278	0.3571756852
279	0.3571190094
280	0.3570482667
281	0.3568975387
282	0.3566591057
283	0.3565807222
284	0.3564241608
285	0.3563001689
286	0.3560998316
287	0.3559850997
288	0.3559430263
289	0.3558754137
290	0.3557265942
291	0.3554915672
292	0.355455247
293	0.3553903521
294	0.3551207124
295	0.3549983633
296	0.3549517443
297	0.3548222106
298	0.3548082829
299	0.3545328263
300	0.3542226645
301	0.3541393615
302	0.3541270475
303	0.3540418851
304	0.3538872212
305	0.3537639472
306	0.3536632655
307	0.3535241155
308	0.3532945437
309	0.3532461058
310	0.3531177145
311	0.3529734443
312	0.3529406257
313	0.3527390772
314	0.3525488708
315	0.3523702043
316	0.3522551423
317	0.3521727418
318	0.3520717931
319	0.3519049599
320	0.3517310058
321	0.3515947726
322	0.351303562
323	0.3510103845
324	0.3508343444
325	0.3507363513
326	0.350620334
327	0.3504973268
328	0.3503754297
329	0.350300577
330	0.3501442043
331	0.3500891935
332	0.3500004762
333	0.3498184874
334	0.3497272697
335	0.3496280501
336	0.3495190474
337	0.3494229289
338	0.3493672269
339	0.3492088995
340	0.3490472181
341	0.3489826202
342	0.3488344098
343	0.3486851011
344	0.348615601
345	0.3484469907
346	0.3483130901
347	0.3482737079
348	0.3481100297
349	0.3479831564
350	0.3478409365
351	0.3476719484
352	0.3475422508
353	0.3474503969
354	0.3474425171
355	0.3474085148
356	0.3473322667
357	0.347260413
358	0.3472101098
359	0.3471974637
360	0.3471724913
361	0.3471152522
362	0.3470390668
363	0.3469651794
364	0.3468864695
365	0.3467615261
366	0.3467300534
367	0.3466177514
368	0.3464904985
369	0.3462531219
370	0.3461613897
371	0.3460552447
372	0.3459606884
373	0.3458528394
374	0.3457218041
375	0.345655198
376	0.3454927831
377	0.3453800054
378	0.3452971687
379	0.3451989621
380	0.3450683706
381	0.3450559989
382	0.3450153218
383	0.3449263721
384	0.344857529
385	0.3447799561
386	0.344701986
387	0.3445510529
388	0.3445128834
389	0.3444619958
390	0.3443972928
391	0.3443000925
392	0.3442312188
393	0.3440695539
394	0.3439916872
395	0.3439714244
396	0.3439060464
397	0.3438162926
398	0.3437305039
399	0.3436647077
400	0.3435519477
401	0.3434958889
402	0.3434202172
403	0.3433534277
404	0.3432873451
405	0.3431842829
406	0.3431280109
407	0.3430244243
408	0.342944119
409	0.3428739949
410	0.3428645528
411	0.342801621
412	0.3427304018
413	0.3426619845
414	0.342538998
415	0.3425139699
416	0.3424447614
417	0.3423739174
418	0.3423194255
419	0.3421917474
420	0.342128176
421	0.3420221641
422	0.341868982
423	0.3418260303
424	0.3417469726
425	0.341612693
426	0.3415144424
427	0.3414060179
428	0.341386069
429	0.341304998
430	0.3412405277
431	0.3411943386
432	0.3411609754
433	0.3410554813
434	0.3410054769
435	0.340937529
436	0.3409149811
437	0.3408435389
438	0.3407132499
439	0.3406588581
440	0.3405775495
441	0.3404623889
442	0.3403161844
443	0.3402978618
444	0.3402208992
445	0.3401973303
446	0.3401390126
447	0.3400774256
448	0.3400059922
449	0.3397876024
450	0.3397185245
451	0.3396616154
452	0.3395702908
453	0.3395406413
454	0.3394636767
455	0.3393535323
456	0.3392786053
457	0.3392311777
458	0.3391844097
459	0.3390600656
460	0.3390421807
461	0.338959671
462	0.3388210893
463	0.3387823329
464	0.3387674215
465	0.3387401991
466	0.3387289361
467	0.33867903
468	0.3385872343
469	0.33841197
470	0.3383855592
471	0.3383802483
472	0.3383197184
473	0.3382368939
474	0.338135781
475	0.3380145204
476	0.3379845832
477	0.3378310234
478	0.3377510098
479	0.3377180964
480	0.3376667801
481	0.3376322424
482	0.3375076685
483	0.3374269219
484	0.3372596851
485	0.337216002
486	0.3371497018
487	0.3371160174
488	0.3371006967
489	0.3370258339
490	0.3368986401
491	0.3368730193
492	0.3367234272
493	0.3365972241
494	0.3365681342
495	0.336523503
496	0.3364282744
497	0.3363855344
498	0.3363616304
499	0.3363343125
500	0.3362346255
501	0.3361545011
502	0.3360610243
503	0.3359617732
504	0.3358963898
505	0.3358481923
506	0.3358004503
507	0.3357297481
508	0.3356827385
509	0.3356071227
510	0.335540809
511	0.3354693751
512	0.3354663361
513	0.3354392125
514	0.3353869347
515	0.3353321043
516	0.3353261093
517	0.3353248089
518	0.3352944502
519	0.3351867158
520	0.3351847018
521	0.3351437053
522	0.3350551081
523	0.3350183807
524	0.3349989934
525	0.3349169369
526	0.3348727507
527	0.3348315277
528	0.3347653478
529	0.3347171131
530	0.3346192026
531	0.3345458994
532	0.334507101
533	0.3343806178
534	0.3343185133
535	0.3342492392
536	0.3341318611
537	0.3341086455
538	0.3341060815
539	0.3340726599
540	0.3340042172
541	0.3339478123
542	0.3338875547
543	0.3337743983
544	0.3337308484
545	0.3337189725
546	0.3336509456
547	0.3335995707
548	0.3334924733
549	0.3334285235
550	0.3332963786
551	0.333283496
552	0.3332749552
553	0.33315768
554	0.3330667824
555	0.3329018218
556	0.3328474646
557	0.3328398911
558	0.3327759127
559	0.3327417662
560	0.3327222079
561	0.3326637772
562	0.3325764849
563	0.3324889418
564	0.3324643003
565	0.3324193123
566	0.3323002339
567	0.3322745393
568	0.332259155
569	0.3322136558
570	0.3321997074
571	0.3321248344
572	0.3320862811
573	0.3320533086
574	0.3319457431
575	0.3318459059
576	0.3318202397
577	0.3316848612
578	0.3315705476
579	0.3315273242
580	0.3314534297
581	0.3313382535
582	0.3312875852
583	0.3312607409
584	0.3311839455
585	0.3311186265
586	0.3310914582
587	0.331054597
588	0.3309419639
589	0.3308621946
590	0.3308445527
591	0.3307828645
592	0.3307310575
593	0.3306617426
594	0.3306076545
595	0.3305213356
596	0.3304530435
597	0.3303815035
598	0.3303378364
599	0.3303269363
600	0.3303203221
601	0.3302830006
602	0.3302456184
603	0.3301935221
604	0.3301393261
605	0.3301142862
606	0.3300886576
607	0.3300093542
608	0.3298578534
609	0.3298122048
610	0.3296687896
611	0.329611688
612	0.3295694731
613	0.3295366519
614	0.3293822699
615	0.3293760978
616	0.3293463455
617	0.3293297214
618	0.3293116217
619	0.3293078146
620	0.3292789228
621	0.3291500245
622	0.3290968957
623	0.3290335479
624	0.3290044414
625	0.3289521805
626	0.3289128048
627	0.328874258
628	0.3288465212
629	0.3288172564
630	0.3287675108
631	0.3286643602
632	0.3286286543
633	0.3285559077
634	0.3285053154
635	0.3285042432
636	0.3284032849
637	0.3283676816
638	0.3283074501
639	0.3282288647
640	0.3282145907
641	0.328198901
642	0.3281485508
643	0.3281319711
644	0.3281227974
645	0.3280991545
646	0.3280750949
647	0.3280361754
648	0.3279989571
649	0.3279299095
650	0.3278244743
651	0.3276649268
652	0.3275678534
653	0.3274943752
654	0.3273986758
655	0.3273513388
656	0.3273403343
657	0.3272531289
658	0.3272057442
659	0.327203446
660	0.3271419901
661	0.3271136139
662	0.3270586885
663	0.3270403119
664	0.3269627575
665	0.3269363037
666	0.3269167178
667	0.32686691
668	0.326808835
669	0.3267452435
670	0.3266971826
671	0.3266870318
672	0.3265447032
673	0.3264875679
674	0.3264367644
675	0.3264106447
676	0.3263546418
677	0.3263328703
678	0.3262795561
679	0.3262684822
680	0.3261957556
681	0.3261556242
682	0.3260678718
683	0.3260146527
684	0.3259735902
685	0.3259496665
686	0.3259041158
687	0.325857423
688	0.3258076465
689	0.3257544252
690	0.3257144028
691	0.3257121233
692	0.3256568924
693	0.3256336727
694	0.3255918477
695	0.3254646377
696	0.3254304915
697	0.3254098618
698	0.325287341
699	0.3252398628
700	0.3252022017
701	0.3251571471
702	0.3251327099
703	0.3251192415
704	0.325088717
705	0.3250082406
706	0.3249663871
707	0.3249283752
708	0.3248869176
709	0.3248589655
710	0.3248013282
711	0.3247310867
712	0.3246872027
713	0.3245642717
714	0.3245382334
715	0.3245222755
716	0.3244895676
717	0.3244223894
718	0.3243637318
719	0.3243153512
720	0.3242984919
721	0.3242451692
