iter	Passed	Remaining
0	0	700
1	1	663
2	1	649
3	2	647
4	3	633
5	3	625
6	4	621
7	4	619
8	5	615
9	6	612
10	6	621
11	7	619
12	8	617
13	8	616
14	9	617
15	10	636
16	10	634
17	11	633
18	12	630
19	13	649
20	14	664
21	14	663
22	15	660
23	16	664
24	17	666
25	17	668
26	18	666
27	18	658
28	19	656
29	20	675
30	21	673
31	22	667
32	22	663
33	23	655
34	23	653
35	24	648
36	24	646
37	25	644
38	26	641
39	26	638
40	28	667
41	31	715
42	33	741
43	35	768
44	36	764
45	37	784
46	39	809
47	42	833
48	44	855
49	46	876
50	47	876
51	49	909
52	51	928
53	54	959
54	56	973
55	58	989
56	60	1003
57	62	1013
58	64	1028
59	66	1042
60	68	1054
61	70	1069
62	72	1082
63	74	1095
64	77	1108
65	79	1122
66	80	1118
67	82	1130
68	84	1140
69	87	1160
70	89	1170
71	91	1179
72	93	1188
73	94	1180
74	97	1198
75	97	1189
76	99	1188
77	100	1191
78	102	1193
79	103	1192
80	105	1194
81	107	1198
82	108	1199
83	110	1200
84	111	1196
85	112	1195
86	113	1194
87	114	1187
88	115	1186
89	116	1178
90	117	1177
91	119	1179
92	121	1181
93	122	1180
94	122	1171
95	123	1166
96	124	1158
97	125	1151
98	125	1144
99	126	1137
100	127	1131
101	127	1125
102	128	1118
103	129	1115
104	130	1108
105	130	1101
106	131	1094
107	131	1088
108	132	1082
109	132	1075
110	133	1068
111	134	1063
112	134	1058
113	135	1052
114	136	1048
115	136	1043
116	137	1038
117	138	1031
118	138	1026
119	139	1021
120	140	1018
121	140	1013
122	141	1008
123	142	1004
124	142	1000
125	143	996
126	144	990
127	144	985
128	145	981
129	145	976
130	146	972
131	147	968
132	147	964
133	148	962
134	149	958
135	150	954
136	150	950
137	151	946
138	152	942
139	152	937
140	153	933
141	153	930
142	154	926
143	155	922
144	155	917
145	156	913
146	156	910
147	157	906
148	158	903
149	158	899
150	159	896
151	160	892
152	160	889
153	161	886
154	162	883
155	162	879
156	163	876
157	163	873
158	164	871
159	165	868
160	166	866
161	166	863
162	168	863
163	174	887
164	176	893
165	178	895
166	179	893
167	179	890
168	180	886
169	180	883
170	181	879
171	182	876
172	182	872
173	183	869
174	183	866
175	184	863
176	185	861
177	186	859
178	186	856
179	187	854
180	188	851
181	188	849
182	189	846
183	190	844
184	191	841
185	191	839
186	192	836
187	192	832
188	193	830
189	194	827
190	194	825
191	195	822
192	196	820
193	196	817
194	197	815
195	198	813
196	198	810
197	199	808
198	200	806
199	200	803
200	201	802
201	202	800
202	203	797
203	203	795
204	204	792
205	204	789
206	205	787
207	206	784
208	206	782
209	207	780
210	208	779
211	209	777
212	209	774
213	210	772
214	210	770
215	211	768
216	212	766
217	212	763
218	213	761
219	214	759
220	214	757
221	215	755
222	216	753
223	216	751
224	217	749
225	218	746
226	218	744
227	219	742
228	220	742
229	221	740
230	221	737
231	222	736
232	223	734
233	223	732
234	224	730
235	225	729
236	226	727
237	226	725
238	227	723
239	227	721
240	228	719
241	229	717
242	229	716
243	230	714
244	231	712
245	232	711
246	232	709
247	233	707
248	234	706
249	234	704
250	235	701
251	235	700
252	236	699
253	237	697
254	238	695
255	238	693
256	239	691
257	240	690
258	240	689
259	242	689
260	242	687
261	243	685
262	243	683
263	244	681
264	245	680
265	245	678
266	246	676
267	247	674
268	247	672
269	248	670
270	248	669
271	249	668
272	250	666
273	250	664
274	251	663
275	252	663
276	253	661
277	254	660
278	254	658
279	255	657
280	256	656
281	257	654
282	257	653
283	258	652
284	259	650
285	260	649
286	260	647
287	261	646
288	262	644
289	262	643
290	263	641
291	264	640
292	264	638
293	265	637
294	266	636
295	266	635
296	267	633
297	268	631
298	268	629
299	269	628
300	269	626
301	270	625
302	271	623
303	271	622
304	272	621
305	273	619
306	273	618
307	274	616
308	275	615
309	275	614
310	276	612
311	277	611
312	277	609
313	278	608
314	279	607
315	280	606
316	281	605
317	281	604
318	282	603
319	284	604
320	285	602
321	285	601
322	286	600
323	287	598
324	287	597
325	288	596
326	289	595
327	290	594
328	290	592
329	291	592
330	292	592
331	293	590
332	294	589
333	296	590
334	296	589
335	297	588
336	298	586
337	298	585
338	299	584
339	300	583
340	301	581
341	301	580
342	302	579
343	303	578
344	303	576
345	304	575
346	304	573
347	305	572
348	306	570
349	306	569
350	307	568
351	308	567
352	308	565
353	310	566
354	310	564
355	311	562
356	311	561
357	312	560
358	313	558
359	313	557
360	314	555
361	314	554
362	315	553
363	316	552
364	316	551
365	317	550
366	318	548
367	318	547
368	319	546
369	320	544
370	320	543
371	321	542
372	322	541
373	323	541
374	324	540
375	324	538
376	325	537
377	325	536
378	326	535
379	327	534
380	327	532
381	328	531
382	329	530
383	329	529
384	330	527
385	331	526
386	331	525
387	332	524
388	333	523
389	333	521
390	334	520
391	335	519
392	335	518
393	336	517
394	337	516
395	337	514
396	338	513
397	339	512
398	339	511
399	340	510
400	340	509
401	341	508
402	342	507
403	343	506
404	344	505
405	344	504
406	345	503
